position_5,duration_mins,TD_emmean,TD_lower_HPD,TD_upper_HPD,AL_emmean,AL_lower_HPD,AL_upper_HPD,HSR_emmean,HSR_lower_HPD,HSR_upper_HPD,HMLD_emmean,HMLD_lower_HPD,HMLD_upper_HPD
Front Row,10,676,513,824,225,181,270,2,0,32,32,0,68
Front Row,20,1230,1081,1374,398,355,441,8,0,35,50,15,85
Front Row,30,1785,1639,1931,570,528,616,13,0,42,67,31,102
Front Row,40,2339,2188,2494,743,695,791,19,0,51,85,43,123
Front Row,50,2893,2722,3054,916,862,970,25,0,62,102,55,148
Front Row,60,3447,3259,3632,1088,1026,1152,30,0,74,120,66,174
Front Row,70,4001,3783,4205,1261,1190,1334,36,0,89,137,74,199
Front Row,80,4556,4309,4783,1434,1353,1517,42,0,103,155,83,226
Front Row,90,5109,4842,5374,1606,1514,1698,47,0,116,172,91,252
Locks,10,737,532,953,255,192,319,11,0,60,60,2,114
Locks,20,1346,1159,1541,447,389,506,16,0,59,78,26,129
Locks,30,1957,1762,2140,640,579,702,19,0,62,97,44,151
Locks,40,2566,2357,2766,832,764,906,23,0,72,115,55,180
Locks,50,3176,2936,3403,1024,940,1109,27,0,84,134,61,210
Locks,60,3784,3509,4052,1217,1119,1321,31,0,102,153,66,245
Locks,70,4393,4085,4717,1409,1291,1529,35,0,121,171,64,276
Locks,80,5003,4631,5359,1601,1467,1743,39,0,139,190,69,316
Locks,90,5613,5206,6031,1794,1641,1956,43,0,158,209,68,350
Back Row,10,649,477,831,230,176,282,36,0,75,74,28,119
Back Row,20,1259,1093,1421,431,382,479,51,13,86,117,75,158
Back Row,30,1868,1716,2031,632,583,678,65,33,100,159,120,200
Back Row,40,2477,2324,2640,834,784,883,80,47,115,201,160,243
Back Row,50,3087,2930,3262,1035,980,1087,95,59,132,243,197,288
Back Row,60,3696,3517,3876,1236,1175,1294,109,69,151,285,235,337
Back Row,70,4304,4106,4506,1437,1369,1504,124,78,173,328,268,386
Back Row,80,4913,4693,5140,1638,1565,1718,139,87,195,370,306,438
Back Row,90,5522,5276,5778,1839,1755,1927,153,96,218,412,339,489
Inside Backs,10,783,567,1004,269,207,338,23,0,72,81,25,139
Inside Backs,20,1438,1243,1638,481,423,541,55,10,98,142,92,194
Inside Backs,30,2093,1902,2271,693,637,748,86,47,127,204,158,253
Inside Backs,40,2749,2566,2925,904,850,960,117,79,157,266,221,315
Inside Backs,50,3404,3214,3580,1116,1057,1174,148,107,188,328,280,380
Inside Backs,60,4059,3860,4251,1328,1263,1393,179,136,227,389,334,446
Inside Backs,70,4715,4502,4935,1539,1463,1610,210,158,262,451,387,515
Inside Backs,80,5370,5130,5614,1751,1667,1832,241,179,298,513,440,587
Inside Backs,90,6025,5750,6291,1963,1872,2059,273,204,339,575,492,658
Outside Backs,10,745,553,923,228,173,281,85,44,126,122,75,168
Outside Backs,20,1413,1239,1586,436,385,487,124,86,161,192,148,235
Outside Backs,30,2081,1908,2243,644,593,693,163,128,199,261,219,304
Outside Backs,40,2749,2576,2913,853,800,902,203,168,240,331,287,375
Outside Backs,50,3419,3239,3590,1061,1004,1115,242,203,280,401,353,449
Outside Backs,60,4087,3886,4262,1270,1207,1331,282,239,324,471,417,525
Outside Backs,70,4754,4547,4958,1478,1407,1545,321,272,369,540,481,604
Outside Backs,80,5422,5194,5647,1687,1605,1760,361,301,412,610,539,678
Outside Backs,90,6090,5833,6332,1895,1808,1981,400,335,460,680,601,757
